power,stamina,energy,base,remaining,agr,att,def,spd,thr,pow,sta,int
100,100,1,100,0,100,100,100,100,100,100,100,100
100,100,1,101,0,100,100,100,100,100,100,100,100
100,100,1,173,0,169,169,169,169,169,169,100,169
100,100,1,250,0,246,246,246,246,246,246,100,246
100,100,8,100,0,100,100,100,100,100,100,100,100
100,100,8,101,0,100,100,100,100,100,100,100,100
100,100,8,173,0,169,169,169,169,169,169,100,169
100,100,8,250,0,246,246,246,246,246,246,100,246
100,100,16,100,7,100,100,100,100,100,100,100,100
100,100,16,101,7,100,100,100,100,100,100,100,100
100,100,16,173,7,169,169,169,169,169,169,100,169
100,100,16,250,7,246,246,246,246,246,246,100,246
100,100,64,100,55,100,100,100,100,100,100,100,100
100,100,64,101,55,100,100,100,100,100,100,100,100
100,100,64,173,55,169,169,169,169,169,169,100,169
100,100,64,250,55,246,246,246,246,246,246,100,246
100,100,127,100,118,100,100,100,100,100,100,100,100
100,100,127,101,118,100,100,100,100,100,100,100,100
100,100,127,173,118,169,169,169,169,169,169,100,169
100,100,127,250,118,246,246,246,246,246,246,100,246
100,100,128,100,119,100,100,100,100,100,100,100,100
100,100,128,101,119,100,100,100,100,100,100,100,100
100,100,128,173,119,169,169,169,169,169,169,100,169
100,100,128,250,119,246,246,246,246,246,246,100,246
100,140,1,100,0,100,100,100,100,100,100,137,100
100,140,1,101,0,100,100,100,100,100,100,137,100
100,140,1,173,0,170,170,170,170,170,170,137,170
100,140,1,250,0,247,247,247,247,247,247,137,247
100,140,8,100,2,100,100,100,100,100,100,137,100
100,140,8,101,2,100,100,100,100,100,100,137,100
100,140,8,173,2,170,170,170,170,170,170,137,170
100,140,8,250,2,247,247,247,247,247,247,137,247
100,140,16,100,10,100,100,100,100,100,100,137,100
100,140,16,101,10,100,100,100,100,100,100,137,100
100,140,16,173,10,170,170,170,170,170,170,137,170
100,140,16,250,10,247,247,247,247,247,247,137,247
100,140,64,100,58,100,100,100,100,100,100,137,100
100,140,64,101,58,100,100,100,100,100,100,137,100
