dx,dz,distance,instructions
0,0,0,17
0,1,1,18
0,2,2,18
0,3,3,18
0,4,4,18
0,5,5,18
0,6,6,18
0,7,7,18
0,8,8,18
0,9,9,18
0,10,10,18
0,11,11,18
0,12,12,18
0,13,13,18
0,14,14,18
0,15,15,18
0,16,16,18
0,17,17,18
0,18,18,18
0,19,19,18
0,20,20,18
0,21,21,18
0,22,22,18
0,23,23,18
0,24,24,18
0,25,25,18
0,26,26,18
0,27,27,18
0,28,28,18
0,29,29,18
0,30,30,18
0,31,31,18
0,32,32,18
0,33,33,18
0,34,34,18
0,35,35,18
0,36,36,18
0,37,37,18
0,38,38,18
0,39,39,18
0,40,40,18
0,41,41,18
0,42,42,18
0,43,43,18
0,44,44,18
0,45,45,18
0,46,46,18
0,47,47,18
0,48,48,18
0,49,49,18
0,50,50,18
0,51,51,18
0,52,52,18
0,53,53,18
0,54,54,18
0,55,55,18
0,56,56,18
0,57,57,18
0,58,58,18
0,59,59,18
0,60,60,18
0,61,61,18
0,62,62,18
0,63,63,18
0,64,64,18
0,96,96,18
0,100,100,18
0,127,127,18
0,128,128,18
0,160,160,18
0,192,192,18
0,255,255,18
0,256,256,18
0,320,320,18
0,512,512,18
0,576,576,18
0,640,640,18
0,1024,1024,18
0,1120,1120,18
0,1152,1152,18
1,0,1,17
1,1,1,12
1,2,2,15
1,3,3,15
1,4,4,18
1,5,5,18
1,6,6,18
1,7,7,18
1,8,8,18
1,9,9,18
1,10,10,18
1,11,11,18
1,12,12,18
1,13,13,18
1,14,14,18
1,15,15,18
1,16,16,18
1,17,17,18
1,18,18,18
1,19,19,18
1,20,20,18
1,21,21,18
1,22,22,18
1,23,23,18
1,24,24,18
1,25,25,18
1,26,26,18
1,27,27,18
1,28,28,18
1,29,29,18
1,30,30,18
1,31,31,18
1,32,32,18
1,33,33,18
1,34,34,18
1,35,35,18
1,36,36,18
1,37,37,18
1,38,38,18
1,39,39,18
1,40,40,18
1,41,41,18
1,42,42,18
1,43,43,18
1,44,44,18
1,45,45,18
1,46,46,18
1,47,47,18
1,48,48,18
1,49,49,18
1,50,50,18
1,51,51,18
1,52,52,18
1,53,53,18
1,54,54,18
1,55,55,18
1,56,56,18
1,57,57,18
1,58,58,18
1,59,59,18
1,60,60,18
1,61,61,18
1,62,62,18
1,63,63,18
1,64,64,18
1,96,96,18
1,100,100,18
1,127,127,18
1,128,128,18
1,160,160,18
1,192,192,18
1,255,255,18
1,256,256,18
1,320,320,18
1,512,512,18
1,576,576,18
1,640,640,18
1,1024,1024,18
1,1120,1120,18
1,1152,1152,18
2,0,2,17
2,1,2,14
2,2,3,12
2,3,4,15
2,4,5,15
2,5,6,15
2,6,7,15
2,7,8,18
2,8,9,18
2,9,10,18
2,10,11,18
2,11,12,18
2,12,13,18
2,13,14,18
2,14,15,18
2,15,16,18
2,16,17,18
2,17,18,18
2,18,19,18
2,19,20,18
2,20,21,18
2,21,22,18
2,22,23,18
2,23,24,18
2,24,25,18
2,25,26,18
2,26,27,18
2,27,28,18
2,28,29,18
2,29,30,18
2,30,31,18
2,31,32,18
2,32,33,18
2,33,34,18
2,34,35,18
2,35,36,18
2,36,37,18
2,37,38,18
2,38,39,18
2,39,40,18
2,40,41,18
2,41,42,18
2,42,43,18
2,43,44,18
2,44,45,18
2,45,46,18
2,46,47,18
2,47,48,18
2,48,49,18
2,49,50,18
2,50,51,18
2,51,52,18
2,52,53,18
2,53,54,18
2,54,55,18
2,55,56,18
2,56,57,18
2,57,58,18
2,58,59,18
2,59,60,18
2,60,61,18
2,61,62,18
2,62,63,18
2,63,64,18
2,64,65,18
2,96,97,18
2,100,101,18
2,127,128,18
2,128,129,18
2,160,161,18
2,192,193,18
2,255,256,18
2,256,257,18
2,320,321,18
2,512,513,18
2,576,577,18
2,640,641,18
2,1024,1025,18
2,1120,1121,18
2,1152,1153,18
3,0,3,17
3,1,3,14
3,2,4,14
3,3,4,12
3,4,5,13
3,5,6,15
3,6,7,15
3,7,8,15
3,8,9,15
3,9,10,15
3,10,11,15
3,11,12,18
3,12,13,18
3,13,14,18
3,14,15,18
3,15,16,18
3,16,17,18
3,17,18,18
3,18,19,18
3,19,20,18
3,20,21,18
3,21,22,18
3,22,23,18
3,23,24,18
3,24,25,18
3,25,26,18
3,26,27,18
3,27,28,18
3,28,29,18
3,29,30,18
3,30,31,18
3,31,32,18
3,32,33,18
3,33,34,18
3,34,35,18
3,35,36,18
3,36,37,18
3,37,38,18
3,38,39,18
3,39,40,18
3,40,41,18
3,41,42,18
3,42,43,18
3,43,44,18
