sprite,dx,dz,origin,distance
0,-64,-64,0,88
0,-64,-32,0,72
0,-64,-16,0,66
0,-64,-1,0,64
0,-64,0,0,64
0,-64,1,0,64
0,-64,16,0,66
0,-64,32,0,72
0,-64,64,0,88
0,-32,-64,0,72
0,-32,-32,0,44
0,-32,-16,0,36
0,-32,-1,0,32
0,-32,0,0,32
0,-32,1,0,32
0,-32,16,0,36
0,-32,32,0,44
0,-32,64,0,72
0,-16,-64,0,66
0,-16,-32,0,36
0,-16,-16,0,22
0,-16,-1,0,16
0,-16,0,0,16
0,-16,1,0,16
0,-16,16,0,22
0,-16,32,0,36
0,-16,64,0,66
0,-1,-64,0,64
0,-1,-32,0,32
0,-1,-16,0,16
0,-1,-1,0,1
0,-1,0,0,1
0,-1,1,0,1
0,-1,16,0,16
0,-1,32,0,32
0,-1,64,0,64
0,0,-64,0,64
0,0,-32,0,32
0,0,-16,0,16
0,0,-1,0,1
0,0,0,0,0
0,0,1,0,1
0,0,16,0,16
0,0,32,0,32
0,0,64,0,64
0,1,-64,0,64
0,1,-32,0,32
0,1,-16,0,16
0,1,-1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,16,0,16
0,1,32,0,32
0,1,64,0,64
0,16,-64,0,66
0,16,-32,0,36
0,16,-16,0,22
0,16,-1,0,16
0,16,0,0,16
0,16,1,0,16
0,16,16,0,22
0,16,32,0,36
0,16,64,0,66
0,32,-64,0,72
0,32,-32,0,44
0,32,-16,0,36
0,32,-1,0,32
0,32,0,0,32
0,32,1,0,32
0,32,16,0,36
0,32,32,0,44
0,32,64,0,72
0,64,-64,0,88
0,64,-32,0,72
0,64,-16,0,66
0,64,-1,0,64
0,64,0,0,64
0,64,1,0,64
0,64,16,0,66
0,64,32,0,72
0,64,64,0,88
1,-64,-64,0,88
1,-64,-32,0,72
1,-64,-16,0,66
1,-64,-1,0,64
1,-64,0,0,64
1,-64,1,0,64
1,-64,16,0,66
1,-64,32,0,72
1,-64,64,0,88
1,-32,-64,0,72
1,-32,-32,0,44
1,-32,-16,0,36
1,-32,-1,0,32
1,-32,0,0,32
1,-32,1,0,32
1,-32,16,0,36
1,-32,32,0,44
1,-32,64,0,72
1,-16,-64,0,66
1,-16,-32,0,36
1,-16,-16,0,22
1,-16,-1,0,16
1,-16,0,0,16
1,-16,1,0,16
1,-16,16,0,22
1,-16,32,0,36
1,-16,64,0,66
1,-1,-64,0,64
1,-1,-32,0,32
1,-1,-16,0,16
1,-1,-1,0,1
1,-1,0,0,1
1,-1,1,0,1
1,-1,16,0,16
1,-1,32,0,32
1,-1,64,0,64
1,0,-64,0,64
1,0,-32,0,32
1,0,-16,0,16
1,0,-1,0,1
1,0,0,0,0
1,0,1,0,1
1,0,16,0,16
1,0,32,0,32
1,0,64,0,64
1,1,-64,0,64
1,1,-32,0,32
1,1,-16,0,16
1,1,-1,0,1
1,1,0,0,1
1,1,1,0,1
1,1,16,0,16
1,1,32,0,32
1,1,64,0,64
1,16,-64,0,66
1,16,-32,0,36
1,16,-16,0,22
1,16,-1,0,16
1,16,0,0,16
1,16,1,0,16
1,16,16,0,22
1,16,32,0,36
1,16,64,0,66
1,32,-64,0,72
1,32,-32,0,44
1,32,-16,0,36
1,32,-1,0,32
1,32,0,0,32
1,32,1,0,32
1,32,16,0,36
1,32,32,0,44
1,32,64,0,72
1,64,-64,0,88
1,64,-32,0,72
1,64,-16,0,66
1,64,-1,0,64
1,64,0,0,64
1,64,1,0,64
1,64,16,0,66
1,64,32,0,72
1,64,64,0,88
2,-64,-64,0,88
2,-64,-32,0,72
2,-64,-16,0,66
2,-64,-1,0,64
2,-64,0,0,64
2,-64,1,0,64
2,-64,16,0,66
2,-64,32,0,72
2,-64,64,0,88
2,-32,-64,0,72
2,-32,-32,0,44
2,-32,-16,0,36
2,-32,-1,0,32
2,-32,0,0,32
2,-32,1,0,32
2,-32,16,0,36
2,-32,32,0,44
2,-32,64,0,72
