speed,sustain,instructions
100,8,7
101,8,7
102,8,7
103,8,7
104,8,7
105,8,7
106,8,7
107,8,7
108,8,7
109,8,7
110,8,7
111,8,7
112,8,7
113,8,7
114,8,7
115,8,7
116,8,7
117,8,7
118,8,7
119,8,7
120,9,7
121,9,7
122,9,7
123,9,7
124,9,7
125,9,7
126,9,7
127,9,7
128,9,7
129,9,7
130,9,7
131,9,7
132,9,7
133,9,7
134,9,7
135,9,7
136,9,7
137,9,7
138,9,7
139,9,7
140,9,7
141,9,7
142,9,7
143,9,7
144,9,7
145,9,7
146,9,7
147,9,7
148,9,7
149,9,7
150,9,7
151,9,7
152,9,7
153,9,7
154,9,7
155,9,7
156,9,7
157,9,7
158,9,7
159,9,7
160,10,7
161,10,7
162,10,7
163,10,7
164,10,7
165,10,7
166,10,7
167,10,7
168,10,7
169,10,7
170,10,7
171,10,7
172,10,7
173,10,7
174,10,7
175,10,7
176,10,7
177,10,7
178,10,7
179,10,7
180,10,7
181,10,7
182,10,7
183,10,7
184,10,7
185,10,7
186,10,7
187,10,7
188,10,7
189,10,7
190,10,7
191,10,7
192,10,7
193,10,7
194,10,7
195,10,7
196,10,7
197,10,7
198,10,7
199,10,7
200,11,7
201,11,7
202,11,7
203,11,7
204,11,7
205,11,7
206,11,7
207,11,7
208,11,7
209,11,7
210,11,7
211,11,7
212,11,7
213,11,7
214,11,7
215,11,7
216,11,7
217,11,7
218,11,7
219,11,7
220,11,7
221,11,7
222,11,7
223,11,7
224,11,7
225,11,7
226,11,7
227,11,7
228,11,7
229,11,7
230,11,7
231,11,7
232,11,7
233,11,7
234,11,7
235,11,7
236,11,7
237,11,7
238,11,7
239,11,7
240,12,7
241,12,7
242,12,7
243,12,7
244,12,7
245,12,7
246,12,7
247,12,7
248,12,7
249,12,7
250,12,7
