attack,defense,angle,slide,jump,keeper,threshold
100,100,0,0,0,0,144
100,100,0,1,0,0,152
100,100,0,0,1,0,160
100,100,0,1,1,0,168
100,100,0,0,0,1,131
100,100,0,1,0,1,139
100,100,0,0,1,1,147
100,100,0,1,1,1,155
100,100,1,0,0,0,140
100,100,1,1,0,0,148
100,100,1,0,1,0,156
100,100,1,1,1,0,164
100,100,1,0,0,1,127
100,100,1,1,0,1,135
100,100,1,0,1,1,143
100,100,1,1,1,1,151
100,100,2,0,0,0,136
100,100,2,1,0,0,144
100,100,2,0,1,0,152
100,100,2,1,1,0,160
100,100,2,0,0,1,123
100,100,2,1,0,1,131
100,100,2,0,1,1,139
100,100,2,1,1,1,147
100,100,3,0,0,0,132
100,100,3,1,0,0,140
100,100,3,0,1,0,148
100,100,3,1,1,0,156
100,100,3,0,0,1,119
100,100,3,1,0,1,127
100,100,3,0,1,1,135
100,100,3,1,1,1,143
100,100,4,0,0,0,128
100,100,4,1,0,0,136
100,100,4,0,1,0,144
100,100,4,1,1,0,152
100,100,4,0,0,1,115
100,100,4,1,0,1,123
100,100,4,0,1,1,131
100,100,4,1,1,1,139
100,100,5,0,0,0,132
100,100,5,1,0,0,140
100,100,5,0,1,0,148
100,100,5,1,1,0,156
100,100,5,0,0,1,119
100,100,5,1,0,1,127
100,100,5,0,1,1,135
100,100,5,1,1,1,143
100,100,6,0,0,0,136
100,100,6,1,0,0,144
100,100,6,0,1,0,152
100,100,6,1,1,0,160
100,100,6,0,0,1,123
100,100,6,1,0,1,131
100,100,6,0,1,1,139
100,100,6,1,1,1,147
100,100,7,0,0,0,140
100,100,7,1,0,0,148
100,100,7,0,1,0,156
100,100,7,1,1,0,164
100,100,7,0,0,1,127
100,100,7,1,0,1,135
100,100,7,0,1,1,143
100,100,7,1,1,1,151
100,140,0,0,0,0,124
100,140,0,1,0,0,132
100,140,0,0,1,0,140
100,140,0,1,1,0,148
100,140,0,0,0,1,106
100,140,0,1,0,1,114
100,140,0,0,1,1,122
100,140,0,1,1,1,130
100,140,1,0,0,0,120
100,140,1,1,0,0,128
100,140,1,0,1,0,136
100,140,1,1,1,0,144
100,140,1,0,0,1,102
100,140,1,1,0,1,110
100,140,1,0,1,1,118
100,140,1,1,1,1,126
100,140,2,0,0,0,116
100,140,2,1,0,0,124
100,140,2,0,1,0,132
100,140,2,1,1,0,140
100,140,2,0,0,1,98
100,140,2,1,0,1,106
100,140,2,0,1,1,114
100,140,2,1,1,1,122
100,140,3,0,0,0,112
100,140,3,1,0,0,120
100,140,3,0,1,0,128
100,140,3,1,1,0,136
100,140,3,0,0,1,94
100,140,3,1,0,1,102
100,140,3,0,1,1,110
100,140,3,1,1,1,118
100,140,4,0,0,0,108
100,140,4,1,0,0,116
100,140,4,0,1,0,124
100,140,4,1,1,0,132
100,140,4,0,0,1,90
100,140,4,1,0,1,98
100,140,4,0,1,1,106
100,140,4,1,1,1,114
100,140,5,0,0,0,112
100,140,5,1,0,0,120
100,140,5,0,1,0,128
100,140,5,1,1,0,136
100,140,5,0,0,1,94
100,140,5,1,0,1,102
100,140,5,0,1,1,110
100,140,5,1,1,1,118
100,140,6,0,0,0,116
100,140,6,1,0,0,124
100,140,6,0,1,0,132
100,140,6,1,1,0,140
100,140,6,0,0,1,98
100,140,6,1,0,1,106
100,140,6,0,1,1,114
100,140,6,1,1,1,122
100,140,7,0,0,0,120
100,140,7,1,0,0,128
100,140,7,0,1,0,136
100,140,7,1,1,0,144
100,140,7,0,0,1,102
100,140,7,1,0,1,110
100,140,7,0,1,1,118
100,140,7,1,1,1,126
100,170,0,0,0,0,109
100,170,0,1,0,0,117
100,170,0,0,1,0,125
100,170,0,1,1,0,133
100,170,0,0,0,1,88
100,170,0,1,0,1,96
100,170,0,0,1,1,104
100,170,0,1,1,1,112
100,170,1,0,0,0,105
100,170,1,1,0,0,113
100,170,1,0,1,0,121
100,170,1,1,1,0,129
100,170,1,0,0,1,84
100,170,1,1,0,1,92
100,170,1,0,1,1,100
100,170,1,1,1,1,108
100,170,2,0,0,0,101
100,170,2,1,0,0,109
100,170,2,0,1,0,117
100,170,2,1,1,0,125
100,170,2,0,0,1,80
100,170,2,1,0,1,88
100,170,2,0,1,1,96
100,170,2,1,1,1,104
100,170,3,0,0,0,97
100,170,3,1,0,0,105
100,170,3,0,1,0,113
100,170,3,1,1,0,121
100,170,3,0,0,1,76
100,170,3,1,0,1,84
100,170,3,0,1,1,92
100,170,3,1,1,1,100
100,170,4,0,0,0,93
100,170,4,1,0,0,101
100,170,4,0,1,0,109
100,170,4,1,1,0,117
100,170,4,0,0,1,72
